,word,Model,snr_gaussian,snr_white,freq_group
0,awi,MeloTTS,-26.60839565222961,-21.812142407995797,pseudoword
1,ki,MeloTTS,-30.86447856565104,-26.046026366151523,
2,ardilla,MeloTTS,-23.89784441486086,-19.123343252111273,Low
3,ya,MeloTTS,-25.257555323678297,-20.479058401712855,
4,pepino,MeloTTS,-25.7509148934159,-20.95492272434001,Low
5,pantorrilla,MeloTTS,-23.98106572206992,-19.214106242380456,Low
6,batería,MeloTTS,-23.114067374517,-18.332265428837385,High
7,empe,MeloTTS,-26.311588930015407,-21.552005144268115,pseudoword
8,po,MeloTTS,-24.962602037083585,-20.17489360973155,
9,gu,MeloTTS,-27.403422356253518,-22.674259154148352,
10,peto,MeloTTS,-27.475896660429843,-22.647397291153265,Low
11,ga,MeloTTS,-26.906749459299597,-22.21094507696772,
12,vatodor,MeloTTS,-23.28746951375532,-18.506154261222555,pseudoword
13,fu,MeloTTS,-30.569648370907203,-25.79306604223317,
14,ne,MeloTTS,-25.474814936981435,-20.749246430399168,
15,ñu,MeloTTS,-24.04335908232071,-19.40919315939555,
16,le,MeloTTS,-28.481351830366798,-23.696424965071877,
17,ñe,MeloTTS,-26.069115300520522,-21.26537984095489,
18,bufanda,MeloTTS,-24.922300857182698,-20.128179539421446,Low
19,yi,MeloTTS,-32.16633424265566,-27.357380041251844,
20,fo,MeloTTS,-24.539501753879676,-19.77267992210503,
21,go,MeloTTS,-24.40957347217388,-19.62196088468671,
22,ñi,MeloTTS,-24.017933571318885,-19.256626042974275,
23,piano,MeloTTS,-23.39381845274825,-18.640968786496767,High
24,kimado,MeloTTS,-23.39902994192506,-18.625947126088708,pseudoword
25,loro,MeloTTS,-22.536762327814905,-17.77180407395904,Low
26,yu,MeloTTS,-27.83810850264036,-23.095661988695063,
27,guitarra,MeloTTS,-24.480066351707976,-19.705649833931787,High
28,silencio,MeloTTS,-23.087526405948154,-18.253985508558422,
29,banjo,MeloTTS,-24.732501065478203,-20.003645663396604,Low
30,sarchoda,MeloTTS,-23.6246219246512,-18.86937908351708,pseudoword
31,lli,MeloTTS,-27.85644269707562,-23.173664039452188,
32,gato,MeloTTS,-24.794145276860043,-20.01190982256171,High
33,re,MeloTTS,-24.596360715316578,-19.840248293615627,
34,mu,MeloTTS,-27.28767260888023,-22.501613307874738,
35,ba,MeloTTS,-26.027622628450327,-21.233974862139625,
36,che,MeloTTS,-25.993057367927328,-21.166680958960534,
37,bi,MeloTTS,-30.302094409566468,-25.529292862082706,
38,mozallo,MeloTTS,-23.746984663682802,-18.98730816539564,pseudoword
39,se,MeloTTS,-28.387515014948093,-23.614839785028906,
40,fi,MeloTTS,-28.768882615713615,-23.92893987193139,
41,ña,MeloTTS,-25.490130604323305,-20.76946592879309,
42,embudo ,MeloTTS,-24.1546658515868,-19.31411462790281,Low
43,coliflor,MeloTTS,-23.47470842600522,-18.71793058742741,Low
44,ze,MeloTTS,-29.5984822422484,-24.781427657931907,
45,clarinete,MeloTTS,-23.217032508256104,-18.48486582581971,Low
46,mo,MeloTTS,-24.832752122077085,-20.07304575124519,
47,sa,MeloTTS,-26.099483824313833,-21.302662929489706,
48,boiri,MeloTTS,-23.64972152987168,-18.88598906048668,pseudoword
49,muetén,MeloTTS,-22.45026522617492,-17.6914505849897,pseudoword
50,rru,MeloTTS,-28.098138365052275,-23.30182198980939,
51,pa,MeloTTS,-25.38230328387392,-20.620266484600755,
52,ma,MeloTTS,-25.52360889788773,-20.783178799755625,
53,rro,MeloTTS,-27.970577274219515,-23.24655958794017,
54,zi,MeloTTS,-31.904680947542772,-27.079915499433227,
55,muela ,MeloTTS,-22.506693156702138,-17.710373508282483,Low
56,zo,MeloTTS,-27.403354358145734,-22.63399265984588,
57,galleta,MeloTTS,-23.639074551981444,-18.882362049126826,High
58,chu,MeloTTS,-29.30750014749122,-24.580217273105664,
59,tetera,MeloTTS,-24.23505839212572,-19.454901068298877,Low
60,manzana ,MeloTTS,-23.37191425769436,-18.624481775998063,High
61,ju,MeloTTS,-30.76081889019695,-25.955907651497583,
62,ri,MeloTTS,-28.027831199884126,-23.1631884562512,
63,pe,MeloTTS,-26.74591448539749,-21.93443964809273,
64,pantalón,MeloTTS,-23.817037905182236,-19.10312271942074,High
65,ge,MeloTTS,-29.16691617092226,-24.350825623222118,
66,rra,MeloTTS,-26.571981596444534,-21.756549295686117,
67,naranja,MeloTTS,-23.626257587252514,-18.84426578831173,High
68,cinturón,MeloTTS,-23.641377603684063,-18.819354907467098,High
69,paloma,MeloTTS,-23.86265769770017,-19.082764349643604,High
70,bu,MeloTTS,-30.29166993566124,-25.516983863792973,
71,ye,MeloTTS,-29.37382552119416,-24.65859729355588,
72,kiwi ,MeloTTS,-29.253424559340854,-24.523668701087256,Low
73,di,MeloTTS,-27.919450947360637,-23.15835660227727,
74,lu,MeloTTS,-26.02094929863348,-21.290070977542868,
75,micrófono,MeloTTS,-23.218089316676576,-18.543332370445395,High
76,te,MeloTTS,-29.978720243115113,-25.239795057993977,
77,camiseta,MeloTTS,-23.288783565333997,-18.541527053134633,High
78,li,MeloTTS,-26.162358920702463,-21.361452413509824,
79,lla,MeloTTS,-27.061047331221726,-22.254858959314987,
80,manopla,MeloTTS,-24.024343069683106,-19.267285655626985,Low
81,fa,MeloTTS,-24.748401070525922,-20.002024456121177,
82,zu,MeloTTS,-29.767245932836293,-24.99132575953352,
83,nariz ,MeloTTS,-23.080591455153755,-18.32290009240797,High
84,sandía,MeloTTS,-23.104711476373897,-18.269590110475093,Low
85,ro,MeloTTS,-25.29955426273989,-20.447217261034353,
86,espátula,MeloTTS,-24.041614381975283,-19.31551755320422,Low
87,bacoli,MeloTTS,-23.28945172726433,-18.523008215991837,pseudoword
88,acordeón,MeloTTS,-22.776649873893096,-17.9723632967018,Low
89,de,MeloTTS,-28.9054557237272,-24.08858232845697,
90,cucharón,MeloTTS,-25.04799976266206,-20.309876264094704,Low
91,su,MeloTTS,-28.874440929541812,-24.130069359610413,
92,bucor,MeloTTS,-25.805512074877285,-21.01371307792956,pseudoword
93,na,MeloTTS,-26.280142161460518,-21.53494343386572,
94,cha,MeloTTS,-27.781764292977485,-22.976346527658123,
95,ra,MeloTTS,-26.36630597564004,-21.61282035992869,
96,colador,MeloTTS,-22.634007239322447,-17.878890079951564,Low
97,poncho,MeloTTS,-22.832516782304467,-18.082174458608392,Low
98,du,MeloTTS,-29.72911923309742,-24.95630114151609,
99,llo,MeloTTS,-26.13401674211287,-21.315671428570397,
100,mono,MeloTTS,-24.10266632374246,-19.37666007506654,High
101,cuchillo,MeloTTS,-25.692195023369926,-20.954633402109607,High
102,si,MeloTTS,-29.092863239175557,-24.285586757583097,
103,za,MeloTTS,-27.78384351830227,-23.056510514498108,
104,nu,MeloTTS,-26.477835344989337,-21.64688411821553,
105,cinriz,MeloTTS,-24.385129610899625,-19.619454947674953,pseudoword
106,fe,MeloTTS,-27.896179156124926,-23.097789409840438,
107,trompeta,MeloTTS,-22.67189894280602,-17.891746700790986,Low
108,león,MeloTTS,-24.936093473699703,-20.12797222443949,High
109,celafo,MeloTTS,-23.65927043887822,-18.89986000933134,pseudoword
110,nareflor,MeloTTS,-22.950118339506886,-18.171447264963923,pseudoword
111,lesorón,MeloTTS,-23.591404477678843,-18.778616091023192,pseudoword
112,pi,MeloTTS,-27.670464673895108,-22.9144780995652,
113,ka,MeloTTS,-27.142548065134314,-22.378749259085737,
114,cambopla,MeloTTS,-23.629775038639565,-18.83213706078188,pseudoword
115,cuterrino,MeloTTS,-23.993473934517795,-19.29140396615176,pseudoword
116,to,MeloTTS,-25.067672613601538,-20.344765548993383,
117,caballo,MeloTTS,-22.979595707168258,-18.20478982933843,High
118,plato,MeloTTS,-24.934578439067497,-20.199450375416323,High
119,da,MeloTTS,-26.199871771446887,-21.44325299157145,
120,oreja ,MeloTTS,-23.173458500890938,-18.33164987335152,High
121,sanceps,MeloTTS,-24.142888832439805,-19.36348486305178,pseudoword
122,gatulón,MeloTTS,-23.921777799720253,-19.21163132695884,pseudoword
123,cho,MeloTTS,-27.935156886869606,-23.195503804567625,
124,ponca,MeloTTS,-23.660409169976173,-18.930835555340707,pseudoword
125,pialle,MeloTTS,-22.6106364325055,-17.83388377427302,pseudoword
126,ni,MeloTTS,-24.455482035262946,-19.640412785121597,
127,be,MeloTTS,-27.88269742038501,-23.131426312885523,
128,brócoli,MeloTTS,-23.298598494270074,-18.494174148233345,Low
129,taza,MeloTTS,-25.623812624657113,-20.91375570435676,High
130,ke,MeloTTS,-31.496925406316816,-26.71741561875948,
131,ji,MeloTTS,-28.046928389911887,-23.26329456058634,
132,hompirra,MeloTTS,-23.1349967626225,-18.42664581786878,pseudoword
133,chi,MeloTTS,-26.51389241455073,-21.78100490911492,
134,hiena,MeloTTS,-23.157707955150258,-18.32141945852393,Low
135,rodilla ,MeloTTS,-23.88451629615746,-19.147152471345574,High
136,esmi,MeloTTS,-26.11925026360126,-21.348944745464046,pseudoword
137,rre,MeloTTS,-27.02595422676994,-22.242791603103164,
138,ño,MeloTTS,-24.98866331132255,-20.284990403284148,
139,je,MeloTTS,-28.633672778230363,-23.786275962741612,
140,ochaja,MeloTTS,-24.334860364287128,-19.542390856294183,pseudoword
141,gi,MeloTTS,-31.51025107465199,-26.739935848990033,
142,ja,MeloTTS,-26.205875599265784,-21.475759178309353,
143,tu,MeloTTS,-30.016278121181543,-25.339298247510214,
144,rri,MeloTTS,-28.101129270197465,-23.420856045652755,
145,bo,MeloTTS,-25.571028859814547,-20.774057979869895,
146,meñique,MeloTTS,-23.515956750414993,-18.842549742723648,Low
147,mebro,MeloTTS,-25.387139914123722,-20.596698371577332,pseudoword
148,talón ,MeloTTS,-23.85908714520811,-19.065809902188075,Low
149,mancrose,MeloTTS,-22.871224628403407,-18.068910658458325,pseudoword
150,ko,MeloTTS,-29.19885094372328,-24.383832713907122,
151,foca,MeloTTS,-24.515531705455835,-19.79283343472527,Low
152,do,MeloTTS,-25.655291924410637,-20.821788477016625,
153,me,MeloTTS,-27.3144904923346,-22.52862460206711,
154,cebolla ,MeloTTS,-23.93327284612976,-19.123197053048976,High
155,ru,MeloTTS,-27.984801814530122,-23.26306208618807,
156,lo,MeloTTS,-25.574297089266214,-20.79101640433261,
157,pu,MeloTTS,-29.41259877165521,-24.692693258062697,
158,tomate ,MeloTTS,-23.65868338407468,-18.819810048726207,High
159,ti,MeloTTS,-29.18015543437836,-24.440656731243532,
160,mi,MeloTTS,-26.420152812860035,-21.673898482993366,
161,lle,MeloTTS,-27.527635662936618,-22.67904720884506,
162,no,MeloTTS,-24.572026334254517,-19.814655633681923,
163,ku,MeloTTS,-29.44000986970233,-24.57400379427801,
164,cladi,MeloTTS,-23.265857826903762,-18.56103810243547,pseudoword
165,campana,MeloTTS,-23.22203356414231,-18.39841812908775,High
166,zapato,MeloTTS,-23.7693743579878,-19.09110745794894,High
167,hombro,MeloTTS,-22.72066917119009,-17.88437278992225,High
168,llu,MeloTTS,-26.306001853599938,-21.48677663987717,
169,so,MeloTTS,-24.346796743038674,-19.610655343437784,
170,bíceps,MeloTTS,-25.507476196408714,-20.739475563599875,Low
171,búho,MeloTTS,-24.637247967965838,-19.830251590240458,Low
172,ta,MeloTTS,-28.170922331387793,-23.40884221368814,
173,yo,MeloTTS,-24.040858473160647,-19.295357662514693,
174,boina,MeloTTS,-23.463397374820055,-18.73732541112141,Low
175,tajonella,MeloTTS,-22.754141952464444,-17.978699148410215,pseudoword
176,loñiría,MeloTTS,-22.534087153335214,-17.712118859576858,pseudoword
177,rochiqueón,MeloTTS,-23.819251110942844,-19.095941035932476,pseudoword
178,jo,MeloTTS,-24.25366440704596,-19.399058336633136,
179,vaso,MeloTTS,-24.46193823119863,-19.740420535656394,High
180,la,MeloTTS,-27.05884250459929,-22.25410973205676,
181,ojo ,MeloTTS,-23.84141977631318,-19.123132980711947,High
182,arpa ,MeloTTS,-23.18145181509974,-18.38020212728754,Low
183,bolso,MeloTTS,-23.585545630002077,-18.805227233296904,High
184,guidía,MeloTTS,-23.9972741830525,-19.25595407172971,pseudoword
185,sartén,MeloTTS,-23.27997575208876,-18.494684058392526,High
186,awi,FacebookTTS,-40.1494229377122,-35.41604077327801,pseudoword
187,ki,FacebookTTS,-48.234013912391475,-43.43024353510383,
188,ardilla,FacebookTTS,-28.895604594453342,-24.07421783338055,Low
189,ya,FacebookTTS,-45.41185742718554,-40.77304797091785,
190,pepino,FacebookTTS,-22.793619002778218,-17.99824225556206,Low
191,pantorrilla,FacebookTTS,-21.540100910247055,-16.71418302752539,Low
192,batería,FacebookTTS,-22.09327145403117,-17.373713427902196,High
193,empe,FacebookTTS,-33.86582713957898,-29.129644984344075,pseudoword
194,po,FacebookTTS,-50.06459478886508,-45.15234844603171,
195,gu,FacebookTTS,-39.3798648270503,-34.758457661751066,
196,peto,FacebookTTS,-29.881409871368536,-25.069492330123655,Low
197,ga,FacebookTTS,-38.59859452335187,-33.8337023122015,
198,vatodor,FacebookTTS,-24.509661702568494,-19.701384432230526,pseudoword
199,fu,FacebookTTS,-40.76341732756222,-36.073742410044446,
200,ne,FacebookTTS,-30.13487175475722,-25.393723367659206,
201,ñu,FacebookTTS,-23.90509877239807,-19.04602440728355,
202,le,FacebookTTS,-25.173961602649825,-20.312567990174585,
203,ñe,FacebookTTS,-32.37842428194505,-27.610479237341146,
204,bufanda,FacebookTTS,-26.796372814157014,-22.055549074416696,Low
205,yi,FacebookTTS,-61.14939459293723,-56.458718711908666,
206,fo,FacebookTTS,-44.67328452133154,-39.920971591848264,
207,go,FacebookTTS,-53.93941136900733,-49.084699566435866,
208,ñi,FacebookTTS,-43.18516468830797,-38.43852802551625,
209,piano,FacebookTTS,-22.124886260492925,-17.371557716730642,High
210,kimado,FacebookTTS,-22.947019508866635,-18.155579834954395,pseudoword
211,loro,FacebookTTS,-21.79368184253269,-16.957542640999932,Low
212,yu,FacebookTTS,-47.992360216513674,-43.062131543765716,
213,guitarra,FacebookTTS,-23.585620303034183,-18.814768501626137,High
214,silencio,FacebookTTS,-22.420382452940878,-17.51199314583074,
215,banjo,FacebookTTS,-20.561991434057166,-15.863368606279462,Low
216,sarchoda,FacebookTTS,-23.8308627146844,-19.099888426476753,pseudoword
217,lli,FacebookTTS,-39.79690820589085,-35.00589768511047,
218,gato,FacebookTTS,-30.436184046593926,-25.671520750413745,High
219,re,FacebookTTS,-39.77527888956495,-34.97073464773984,
220,mu,FacebookTTS,-31.148915107071566,-26.448334215529737,
221,ba,FacebookTTS,-30.81303015143192,-26.113921048965288,
222,che,FacebookTTS,-36.330156196674885,-31.479927739661502,
223,bi,FacebookTTS,-44.59597564344433,-39.77084198803692,
224,mozallo,FacebookTTS,-20.095982684570423,-15.295216074877407,pseudoword
225,se,FacebookTTS,-45.154019293600896,-40.35665721181673,
226,fi,FacebookTTS,-38.0582590792642,-33.279248156499285,
227,ña,FacebookTTS,-41.72373631115636,-36.97697532083379,
228,embudo ,FacebookTTS,-23.013395709348874,-18.248621210328945,Low
229,coliflor,FacebookTTS,-21.131421050980336,-16.382784590632816,Low
230,ze,FacebookTTS,-31.227473520265292,-26.42538588603084,
231,clarinete,FacebookTTS,-21.2124576008205,-16.414739479037735,Low
232,mo,FacebookTTS,-26.644806007850388,-21.762183458438887,
233,sa,FacebookTTS,-59.87746600211154,-55.06720628333929,
234,boiri,FacebookTTS,-27.736934326687308,-22.955802431920297,pseudoword
235,muetén,FacebookTTS,-21.038091796746826,-16.301573944375978,pseudoword
236,rru,FacebookTTS,-48.244486703060275,-43.508603655411534,
237,pa,FacebookTTS,-46.60066008650862,-41.85117845173295,
238,ma,FacebookTTS,-47.090295558857136,-42.2504372584065,
239,rro,FacebookTTS,-42.72465350752985,-37.90861994663351,
240,zi,FacebookTTS,-46.013602180312105,-41.39339467498637,
241,muela ,FacebookTTS,-20.303306834769796,-15.478346739089531,Low
242,zo,FacebookTTS,-49.261459250785016,-44.413624674977314,
243,galleta,FacebookTTS,-21.486160942957596,-16.617750166986106,High
244,chu,FacebookTTS,-26.111060324629833,-21.325156526518107,
245,tetera,FacebookTTS,-21.1788241064164,-16.457821878960807,Low
246,manzana ,FacebookTTS,-23.96968705369597,-19.1852190556209,High
247,ju,FacebookTTS,-36.33995548560465,-31.55073377269726,
248,ri,FacebookTTS,-38.962518596359104,-34.21846895793133,
249,pe,FacebookTTS,-57.75917373885474,-53.102887746373824,
250,pantalón,FacebookTTS,-24.231957534165,-19.452216121073626,High
251,ge,FacebookTTS,-33.52515910897954,-28.80721370061293,
252,rra,FacebookTTS,-37.71850420626821,-32.959360024595206,
253,naranja,FacebookTTS,-22.47127298001834,-17.690700274208197,High
254,cinturón,FacebookTTS,-22.289819999533087,-17.501911079257038,High
255,paloma,FacebookTTS,-23.42370750385996,-18.59831500079705,High
256,bu,FacebookTTS,-46.672759249115245,-41.88074856662692,
257,ye,FacebookTTS,-36.111937813298844,-31.48023586952087,
258,kiwi ,FacebookTTS,-32.25083437095232,-27.506991184814396,Low
259,di,FacebookTTS,-42.70681551005504,-37.990662884811,
260,lu,FacebookTTS,-37.93023964665113,-33.11860247774979,
261,micrófono,FacebookTTS,-20.042258361945965,-15.26612740791939,High
262,te,FacebookTTS,-54.85882402028849,-50.09395159225938,
263,camiseta,FacebookTTS,-23.012575447028215,-18.231401053928323,High
264,li,FacebookTTS,-36.04684452274021,-31.270688325126525,
265,lla,FacebookTTS,-44.71684491905121,-39.947108972149685,
266,manopla,FacebookTTS,-21.378306487453543,-16.683510972017274,Low
267,fa,FacebookTTS,-45.083697776592835,-40.29647115205683,
268,zu,FacebookTTS,-38.21533497700711,-33.40334032295421,
269,nariz ,FacebookTTS,-20.91630205131491,-16.177796078586596,High
270,sandía,FacebookTTS,-24.14072810838558,-19.379976887457584,Low
271,ro,FacebookTTS,-52.27541463305403,-47.67449694718422,
272,espátula,FacebookTTS,-22.204382950868066,-17.425136835513744,Low
273,bacoli,FacebookTTS,-25.266403362973783,-20.47814573895053,pseudoword
274,acordeón,FacebookTTS,-24.025675228773274,-19.258391276557155,Low
275,de,FacebookTTS,-37.160090849587,-32.40871323396401,
276,cucharón,FacebookTTS,-22.41298737168034,-17.673091704354054,Low
277,su,FacebookTTS,-33.60412701985814,-28.80416779858759,
278,bucor,FacebookTTS,-20.746229054098563,-15.94715341054668,pseudoword
279,na,FacebookTTS,-43.27554972742411,-38.4557273705958,
280,cha,FacebookTTS,-36.4168250747234,-31.690817096429285,
281,ra,FacebookTTS,-57.71349468089227,-52.98598356284727,
282,colador,FacebookTTS,-21.546171623962188,-16.70605268667962,Low
283,poncho,FacebookTTS,-23.014093583486407,-18.242956298401676,Low
284,du,FacebookTTS,-39.18851218844732,-34.43737691134092,
285,llo,FacebookTTS,-35.404442237788906,-30.697778379086564,
